benchmark,size_mb,method,avg_time_ms,bw_gbs
1d,1,cp.async,0.015736,66.6355
1d,1,TMA,0.016708,62.7587
1d,4,cp.async,0.0355744,117.902
1d,4,TMA,0.0380271,110.298
1d,16,cp.async,0.111486,150.487
1d,16,TMA,0.121172,138.458
1d,64,cp.async,0.858011,78.2145
1d,64,TMA,0.897741,74.7531
1d,256,cp.async,3.40086,78.9317
1d,256,TMA,3.57056,75.1802
1d,1024,cp.async,13.5835,79.0477
1d,1024,TMA,14.2435,75.3848
1d,2048,cp.async,27.1406,79.1243
1d,2048,TMA,28.4709,75.4272
1d_ref,1,pageable,0.146202,7.17212
1d_ref,1,pinned,0.057288,18.3036
1d_ref,4,pageable,0.625048,6.71037
1d_ref,4,pinned,0.18648,22.492
1d_ref,16,pageable,1.7308,9.69333
1d_ref,16,pinned,0.638718,26.267
1d_ref,64,pageable,4.24194,15.8203
1d_ref,64,pinned,1.21577,55.1985
1d_ref,256,pageable,20.7903,12.9116
1d_ref,256,pinned,4.81672,55.7299
1d_ref,1024,pageable,83.963,12.7883
1d_ref,1024,pinned,19.2368,55.817
1d_ref,2048,pageable,168.509,12.7441
1d_ref,2048,pinned,38.4738,55.8167
