benchmark,width,height,method,avg_time_ms,payload_mb,bw_gbs
2d,512,512,cp.async,0.00865525,1,121.149
2d,512,512,TMA,0.00908405,1,115.43
2d,1024,512,cp.async,0.0095757,2,219.008
2d,1024,512,TMA,0.00850005,2,246.722
2d,1024,1024,cp.async,0.0112627,4,372.408
2d,1024,1024,TMA,0.00890215,4,471.156
2d,2048,1024,cp.async,0.015005,8,559.056
2d,2048,1024,TMA,0.00943805,8,888.807
2d,2048,2048,cp.async,0.0209657,16,800.22
2d,2048,2048,TMA,0.0107671,16,1558.19
2d,4096,2048,cp.async,0.042253,32,794.131
2d,4096,2048,TMA,0.0136999,32,2449.26
2d,4096,4096,cp.async,0.0745164,64,900.592
2d,4096,4096,TMA,0.0297748,64,2253.88
