benchmark,size_bytes,method,latency_us,bw_gbs
small,1024,cp.async,7.69636,0.13305
small,1024,TMA,7.9423,0.12893
small,4096,cp.async,7.72698,0.530091
small,4096,TMA,7.88386,0.519542
small,16384,cp.async,7.81948,2.09528
small,16384,TMA,8.085,2.02647
small,65536,cp.async,8.0351,8.15621
small,65536,TMA,8.37766,7.82271
small,262144,cp.async,9.45378,27.729
small,262144,TMA,9.84402,26.6298
small,1048576,cp.async,14.018,74.8022
small,1048576,TMA,14.8355,70.68
small,4194304,cp.async,33.1629,126.476
small,4194304,TMA,35.714,117.441
small_ref,1024,pageable,9.57888,0.106902
small_ref,1024,pinned,9.80416,0.104445
small_ref,1024,async,9.36448,0.109349
small_ref,4096,pageable,9.48416,0.431878
small_ref,4096,pinned,9.50528,0.430918
small_ref,4096,async,9.87328,0.414857
small_ref,16384,pageable,10.3059,1.58977
small_ref,16384,pinned,9.91936,1.65172
small_ref,16384,async,12.064,1.35809
small_ref,65536,pageable,21.4797,3.05107
small_ref,65536,pinned,11.6646,5.61835
small_ref,65536,async,12.9696,5.05305
small_ref,262144,pageable,28.4838,9.20325
small_ref,262144,pinned,16.039,16.3441
small_ref,262144,async,17.6064,14.8891
small_ref,1048576,pageable,79.8592,13.1303
small_ref,1048576,pinned,29.4317,35.6275
small_ref,1048576,async,30.6848,34.1725
small_ref,4194304,pageable,278.378,15.067
small_ref,4194304,pinned,84.7859,49.4693
small_ref,4194304,async,86.1741,48.6724
