benchmark,size_mb,method,avg_time_ms,bw_gbs
1d,1,cp.async,0.015736,66.6355
1d,1,TMA,0.016708,62.7587
1d,4,cp.async,0.0355744,117.902
1d,4,TMA,0.0380271,110.298
1d,16,cp.async,0.111486,150.487
1d,16,TMA,0.121172,138.458
1d,64,cp.async,0.858011,78.2145
1d,64,TMA,0.897741,74.7531
1d,256,cp.async,3.40086,78.9317
1d,256,TMA,3.57056,75.1802
1d,1024,cp.async,13.5835,79.0477
1d,1024,TMA,14.2435,75.3848
1d,2048,cp.async,27.1406,79.1243
1d,2048,TMA,28.4709,75.4272
1d_ref,1,pageable,0.146202,7.17212
1d_ref,1,pinned,0.057288,18.3036
1d_ref,4,pageable,0.625048,6.71037
1d_ref,4,pinned,0.18648,22.492
1d_ref,16,pageable,1.7308,9.69333
1d_ref,16,pinned,0.638718,26.267
1d_ref,64,pageable,4.24194,15.8203
1d_ref,64,pinned,1.21577,55.1985
1d_ref,256,pageable,20.7903,12.9116
1d_ref,256,pinned,4.81672,55.7299
1d_ref,1024,pageable,83.963,12.7883
1d_ref,1024,pinned,19.2368,55.817
1d_ref,2048,pageable,168.509,12.7441
1d_ref,2048,pinned,38.4738,55.8167
2d,512,512,cp.async,0.00865525,1,121.149
2d,512,512,TMA,0.00908405,1,115.43
2d,1024,512,cp.async,0.0095757,2,219.008
2d,1024,512,TMA,0.00850005,2,246.722
2d,1024,1024,cp.async,0.0112627,4,372.408
2d,1024,1024,TMA,0.00890215,4,471.156
2d,2048,1024,cp.async,0.015005,8,559.056
2d,2048,1024,TMA,0.00943805,8,888.807
2d,2048,2048,cp.async,0.0209657,16,800.22
2d,2048,2048,TMA,0.0107671,16,1558.19
2d,4096,2048,cp.async,0.042253,32,794.131
2d,4096,2048,TMA,0.0136999,32,2449.26
2d,4096,4096,cp.async,0.0745164,64,900.592
2d,4096,4096,TMA,0.0297748,64,2253.88
gemm,512,global,0.0494861,5424.46
gemm,512,cp.async,0.0403259,6656.66
gemm,512,TMA,0.0388301,6913.07
gemm,1024,global,0.334335,6423.15
gemm,1024,cp.async,0.260679,8238.04
gemm,1024,TMA,0.234945,9140.38
gemm,2048,global,2.61996,6557.3
gemm,2048,cp.async,2.01593,8522.06
gemm,2048,TMA,1.7548,9790.24
gemm,4096,global,21.201,6482.65
gemm,4096,cp.async,16.0708,8552.1
gemm,4096,TMA,15.4999,8867.07
overlap,cp.async,0.352249,762.062
overlap,TMA,0.387325,693.049
overlap_ref,sequential,5.20834,51.5395
overlap_ref,async,4.87421,55.0726
small,1024,cp.async,7.69636,0.13305
small,1024,TMA,7.9423,0.12893
small,4096,cp.async,7.72698,0.530091
small,4096,TMA,7.88386,0.519542
small,16384,cp.async,7.81948,2.09528
small,16384,TMA,8.085,2.02647
small,65536,cp.async,8.0351,8.15621
small,65536,TMA,8.37766,7.82271
small,262144,cp.async,9.45378,27.729
small,262144,TMA,9.84402,26.6298
small,1048576,cp.async,14.018,74.8022
small,1048576,TMA,14.8355,70.68
small,4194304,cp.async,33.1629,126.476
small,4194304,TMA,35.714,117.441
small_ref,1024,pageable,9.57888,0.106902
small_ref,1024,pinned,9.80416,0.104445
small_ref,1024,async,9.36448,0.109349
small_ref,4096,pageable,9.48416,0.431878
small_ref,4096,pinned,9.50528,0.430918
small_ref,4096,async,9.87328,0.414857
small_ref,16384,pageable,10.3059,1.58977
small_ref,16384,pinned,9.91936,1.65172
small_ref,16384,async,12.064,1.35809
small_ref,65536,pageable,21.4797,3.05107
small_ref,65536,pinned,11.6646,5.61835
small_ref,65536,async,12.9696,5.05305
small_ref,262144,pageable,28.4838,9.20325
small_ref,262144,pinned,16.039,16.3441
small_ref,262144,async,17.6064,14.8891
small_ref,1048576,pageable,79.8592,13.1303
small_ref,1048576,pinned,29.4317,35.6275
small_ref,1048576,async,30.6848,34.1725
small_ref,4194304,pageable,278.378,15.067
small_ref,4194304,pinned,84.7859,49.4693
small_ref,4194304,async,86.1741,48.6724
